ID,PAYS,PROVINCE,CPROV_SNIS,DIST_ADM,CDA_SNIS,TERRITOIRE,CTER_SNIS,DIST_SA,NOM_ZS,CZS_SNIS,SCE_GEO,Cde_ZS_PUC,Cde_DS_PUC,Nom_DS_PUC,Nom_ZS_PUC,Area,Pop,PopDensity
83,RDC,Kasai Occidental,10,Kasai,1003,MWEKA,100305,Kasai,Mweka,10030504,OMS,10030504,,Kasa,Mweka,3894.24007002000,153400.00000000000,39.39
0,RDC,Katanga,09,Tanganika,0907,MOBA,090705,Tanganika,Moba,09070502,OMS,09070502,0907,Tanganika,Moba,13372.99702950000,264485.00000000000,19.78
0,RDC,Katanga,09,Haut Katanga,0901,KAMBOVE,090101,Likasi,Kambove,09010101,OMS,09010101,0901,Haut-Katanga,Kambove,2952.83824597000,98198.00000000000,33.26
0,RDC,Katanga,09,Kolwezi,0903,LUBUDI,090302,Kolwezi,Bunkeya,09030201,OMS,09030201,0903,Kolwezi,Bunkeya,4620.37013987000,46531.00000000000,10.07
0,RDC,Katanga,09,Lubumbashi,0906,KENYA,090604,Lubumbashi,Kenya,09060401,OMS,09060401,0906,Lubumbashi,Kenya,326.17481145900,115397.00000000000,353.79
0,RDC,Katanga,09,Lubumbashi,0906,KAMALONDO,090601,Lubumbashi,Kamalondo,09060101,OMS,09060101,0906,Lubumbashi,Kamalondo,147.28030569100,50415.00000000000,342.31
0,RDC,Katanga,09,Lubumbashi,0906,KAMPEMBA,090602,Lubumbashi,Tshamilemba,09060202,OMS,09060202,0906,Lubumbashi,Tshamilemba,319.16787663000,110071.00000000000,344.87
0,RDC,Equateur,04,SUD-UBANGI,0406,GEMENA,040602,Sud-Ubangi,Bogosenubia,04060201,OMS,04060201,0406,Sud-Ubangi,Bogosenubea,3872.60294517000,112115.00000000000,28.95
0,RDC,Bas-Congo,02,Boma,0202,MOANDA,020202,Boma,Moanda,02020203,OMS,02020203,0202,Boma,Moanda,1234.20980444000,123917.00000000000,100.40
0,RDC,Bas-Congo,02,Boma,0202,MOANDA,020202,Boma,Kitona,02020202,OMS,02020202,0202,Boma,Kitona,149.98152648600,82915.00000000000,552.83
0,RDC,Bas-Congo,02,Boma,0202,"KABONDO, KALAMU et NZADI",020201,Boma,Boma,02020101,OMS,02020101,0202,Boma,Boma,140.49396405000,176325.00000000000,1255.00
0,RDC,Bas-Congo,02,Boma,0202,KALAMU,020202,Boma,Boma Bungu,02020201,OMS,02020201,0202,Boma,Boma Bungu,2621.51638146000,72731.00000000000,27.74
0,RDC,Bas-Congo,02,Bas-Fleuve,0201,SEKE-BANZA,020102,Bas-Fleuve,Seke Banza,02010202,OMS,02010202,0201,Bas-Fleuve,Seke-Banza,1792.06728067000,131277.00000000000,73.25
0,RDC,Bas-Congo,02,Bas-Fleuve,0201,SEKE-BANZA,020102,Bas-Fleuve,Inga,02010201,OMS,02010201,0201,Bas-Fleuve,Inga,1824.64320932000,74343.00000000000,40.74
0,RDC,Bas-Congo,02,Bas-Fleuve,0201,LUKULA,020101,Bas-Fleuve,Lukula,02010102,OMS,02010102,0201,Bas-Fleuve,Lukula,2256.55016711000,168925.00000000000,74.86
0,RDC,Bas-Congo,02,Bas-Fleuve,0201,TSHELA,020103,Bas-Fleuve,Tshela,02010304,OMS,02010304,0201,Bas-Fleuve,Tshela,412.19732389000,83374.00000000000,202.27
0,RDC,Bas-Congo,02,Bas-Fleuve,0201,TSHELA,020103,Bas-Fleuve,Vaku,02010305,OMS,02010305,0201,Bas-Fleuve,Vaku,880.08548923200,66496.00000000000,75.56
0,RDC,Bas-Congo,02,Bas-Fleuve,0201,TSHELA,020103,Bas-Fleuve,Kizu,02010302,OMS,02010302,0201,Bas-Fleuve,Kizu,323.69733523700,58038.00000000000,179.30
0,RDC,Bas-Congo,02,Cataractes,0203,LUOZI,020301,Cataractes,Kibunzi,02030101,OMS,02030101,0203,Cataractes,Kibunzi,2198.96114715000,58352.00000000000,26.54
0,RDC,Bas-Congo,02,Cataractes,0203,LUOZI,020301,Cataractes,Luozi,02030102,OMS,02030102,0203,Cataractes,Luozi,2769.06997548000,79378.00000000000,28.67
0,RDC,Bas-Congo,02,Cataractes,0203,MBANZA NGUNGU,020302,Cataractes,Kimpangu,02030203,OMS,02030203,0203,Cataractes,Kimpangu,1491.67848326000,112284.00000000000,75.27
0,RDC,Bas-Congo,02,Lukaya,0204,MADIMBA,020403,Lukaya,Ngidinga,02040302,OMS,02040302,0204,Lukaya,Ngidinga,2877.19475618000,137833.00000000000,47.91
