X,Y,scalerank,natscale,labelrank,featurecla,name,namepar,namealt,diffascii,nameascii,adm0cap,capalt,capin,worldcity,megacity,sov0name,sov_a3,adm0name,adm0_a3,adm1name,iso_a2,note,latitude,longitude,changed,namediff,diffnote,pop_max,pop_min,pop_other,rank_max,rank_min,geonameid,meganame,ls_name,ls_match,checkme,ID,PAYS,PROVINCE,CPROV_SNIS,DIST_ADM,CDA_SNIS,TERRITOIRE,CTER_SNIS,DIST_SA,NOM_ZS,CZS_SNIS,SCE_GEO,Cde_ZS_PUC,Cde_DS_PUC,Nom_DS_PUC,Nom_ZS_PUC,Area,Pop,PopDensity,COUNT
19.88001623401658,4.190375995801332,7,20,3,Populated place,Bosobolo,,,0,Bosobolo,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,quateur,CD,,4.19037599580,19.88001623400,4.00000000000,0,Changed scale rank.,14553,3384,3384,6,4,2316473.00000000000,,Bosobolo,1,0,0.000000000000000,RDC,Equateur,04,NORD UBANGI,0405,BOSOBOLO,040501,Nord-Ubangi,Bosobolo,04050102,OMS,04050102,0405,Nord-Ubangi,Bosobolo,7027.71922492000,135487.00000000000,19.28,1
24.430022744451321,0.770378030293045,7,20,3,Populated place,Yangambi,,,0,Yangambi,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Orientale,CD,,0.77037803029,24.43002274450,4.00000000000,0,Changed scale rank.,35531,540,540,7,2,203717.00000000000,,Yangambi,1,0,0.000000000000000,RDC,Province Orienta,05,Tshopo,0502,Isangi,050203,Tshopo Lomam,Isangi,05020301,OMS,0502B0301,0502B,Tshopo Lomami,Isangi,2148.74176438000,142181.00000000000,66.17,1
23.779984902651847,2.740464496772177,7,20,3,Populated place,Aketi,,,0,Aketi,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Orientale,CD,,2.74046449677,23.77998490270,4.00000000000,0,Changed scale rank.,58601,35161,58601,8,7,220448.00000000000,,Aketi,1,0,0.000000000000000,RDC,Province Orienta,05,Bas-Uele,0503,Aketi,050302,Buta,Aketi,05030201,OMS,0503A0201,0503A,Buta,Aketi,14251.63736900000,113575.00000000000,7.97,1
30.033298297859119,1.950435199894059,7,20,3,Populated place,Mongbwalu,,,0,Mongbwalu,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Orientale,CD,,1.95043519989,30.03329829790,4.00000000000,0,Changed scale rank.,2819,2819,2819,4,4,-1.00000000000,,Mongbwalu,1,0,0.000000000000000,RDC,Province Orienta,05,Ituri,0505,Djugu,050505,Djugu,Mongbwalu,05050510,Div_snis,0505C0510,0505C,Djugu,Mongbalu,1361.76412599000,89919.00000000000,66.03,1
27.266593789384558,1.083847268575425,7,20,3,Populated place,Bafwasende,,,0,Bafwasende,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Orientale,CD,,1.08384726858,27.26659378940,0.00000000000,0,,149,149,0,1,1,-1.00000000000,,Bafwasende,0,0,0.000000000000000,RDC,Province Orienta,05,Tshopo,0502,Bafwasende,050207,Tshopo Lindi,Bafwasende,05020701,OMS,0502A0701,0502A,Tshopo Lindi,Bafwasende,17187.13071880000,65918.00000000000,3.84,1
30.240004027026657,1.560407327171106,7,20,3,Populated place,Bunia,,,0,Bunia,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Orientale,CD,,1.56040732717,30.24000402700,0.00000000000,0,,96764,26310,26310,8,7,217695.00000000000,,Bunia,1,0,0.000000000000000,RDC,Province Orienta,05,Ituri,0505,Irumu,050502,Bunia,Bunia,05050202,Div_snis,0505B0202,0505B,Bunia,Bunia,168.96873995300,213944.00000000000,1266.10,1
27.989960488606243,2.14042360321497,7,20,3,Populated place,Wamba,,,0,Wamba,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Orientale,CD,,2.14042360321,27.98996048860,0.00000000000,0,,146871,17373,146871,9,6,204318.00000000000,,Wamba,1,0,0.000000000000000,RDC,Province Orienta,05,Haut - Uele,0504,Wamba,050406,Haut Uele Ou,Wamba,05040601,Div_snis,0504B0601,0504B,Haut Uele Ouest,Wamba,6878.58864508000,109385.00000000000,15.90,1
23.590022337546941,1.240426858419767,7,20,3,Populated place,Basoko,,,0,Basoko,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Orientale,CD,,1.24042685842,23.59002233750,0.00000000000,0,,43709,2197,0,7,4,219414.00000000000,,Basoko,1,0,0.000000000000000,RDC,Province Orienta,05,Tshopo,0502,Basoko,050201,Tshopo Lomam,Basoko,05020101,OMS,0502B0101,0502B,Tshopo Lomami,Basoko,1624.82191028000,128856.00000000000,79.30,1
16.899939736608701,-4.829590231448208,7,20,3,Populated place,Kenge,,,0,Kenge,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-4.82959023145,16.89993973660,0.00000000000,0,,241,241,0,2,2,-1.00000000000,,Kenge,1,0,0.000000000000000,RDC,Bandundu,03,Kwango,0303,Kutu,030304,Kwango,Boko,03030401,OMS,03030401,0303,Kwango,Boko,9354.38104891000,168550.00000000000,18.02,1
16.239980019809252,-2.159520651359401,7,20,3,Populated place,Bolobo,,,0,Bolobo,0.00000000000,0.00000000000,,0.00000000000,0,Congo (Kinshasa),COD,Congo (Kinshasa),COD,Bandundu,CD,,-2.15952065136,16.23998001980,0.00000000000,0,,27862,17349,17349,7,6,2316748.00000000000,,Bolobo,1,0,0.000000000000000,RDC,Bandundu,03,Plateau,0306,Bolobo,030603,Plateau,Bolobo,03060301,OMS,03060101,0306,Plateau,Bolobo,4124.37132546000,101488.00000000000,24.61,1
